Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

00:57:32        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:58:32        all      6.49      0.00      1.18      0.18      0.00     92.15
00:59:32        all      4.49      0.00      0.61      0.12      0.00     94.77
01:00:32        all      3.20      0.17      0.97      0.23      0.00     95.41
01:01:32        all      3.22      0.36      1.58      0.40      0.00     94.44
01:02:32        all      3.33      0.36      1.65      0.41      0.00     94.26
01:03:32        all      3.41      0.39      2.03      0.77      0.00     93.40
01:04:32        all      4.16      0.40      2.65      0.18      0.00     92.61
01:05:32        all      6.97      0.39      2.18      0.24      0.00     90.21
01:06:32        all      4.95      0.43      1.91      0.55      0.00     92.15
01:07:32        all      3.31      0.38      1.51      0.34      0.00     94.46
