# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415149112;31778136;232341420;87.97;151448;194997532;134210192;49.04;153772824;69237236
axle;60;1415149172;26755692;237363864;89.87;151776;200032040;134160276;49.02;157850448;70190592
axle;60;1415149232;24558128;239561428;90.70;153628;202197976;134152600;49.02;159857892;70353424
axle;60;1415149292;22080244;242039312;91.64;158472;204655164;134169100;49.02;161889636;70791232
axle;60;1415149352;18633804;245485752;92.94;163232;206897984;135924164;49.66;164782616;71292440
axle;60;1415149412;17335124;246784432;93.44;179956;208879848;134896736;49.29;164289456;73123204
axle;60;1415149472;9363664;254755892;96.45;195984;210447656;141759416;51.80;170860104;74553932
axle;60;1415149532;1891728;262227828;99.28;216312;212982080;146005724;53.35;175640672;77090636
axle;60;1415149592;8898496;255221060;96.63;220660;213474236;138360076;50.55;166144848;79598876
axle;60;1415149652;7172112;256947444;97.28;222516;215166312;138373268;50.56;166304540;81134860
