# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415149776;5841540;258278016;97.79;224388;220566744;134321472;49.08;160392340;88388096
axle;60;1415149836;5837892;258281664;97.79;224552;220719256;134188448;49.03;166885724;81885080
axle;60;1415149896;4170320;259949236;98.42;224712;220832164;135693828;49.58;170883848;79552424
axle;60;1415149956;5571780;258547776;97.89;224980;220982492;134126700;49.01;170326464;78696644
axle;60;1415150016;5225984;258893572;98.02;225156;221141984;134277712;49.06;172163120;77190164
axle;60;1415150076;5213472;258906084;98.03;225352;221302532;134120688;49.01;172198344;77157168
axle;60;1415150136;5078640;259040916;98.08;225532;221462668;134131376;49.01;172379440;77118212
axle;60;1415150196;4470616;259648940;98.31;225672;221620712;134632184;49.19;173206272;76878736
axle;60;1415150256;3783340;260336216;98.57;225864;221781332;135119568;49.37;176027368;74736636
