# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415149776;sdb;1370.68;5188.27;60983.07;48.28;3.46;2.53;0.03;3.92
axle;60;1415149776;sda;13.28;0.13;717.73;54.04;0.00;0.24;0.10;0.13
axle;60;1415149836;sdb;175.08;5286.40;7999.20;75.88;0.33;1.89;0.06;1.06
axle;60;1415149836;sda;3.80;0.00;83.60;22.00;0.00;0.16;0.09;0.03
axle;60;1415149896;sdb;52.75;5367.47;5726.53;210.31;0.02;0.31;0.11;0.58
axle;60;1415149896;sda;7.12;0.00;264.67;37.19;0.00;0.20;0.17;0.12
axle;60;1415149956;sdb;47.43;5346.13;5295.60;224.35;0.02;0.38;0.16;0.75
axle;60;1415149956;sda;3.33;0.00;73.60;22.08;0.00;0.06;0.06;0.02
axle;60;1415150016;sdb;44.93;5294.93;5175.47;233.02;0.03;0.66;0.12;0.54
axle;60;1415150016;sda;3.33;0.00;47.60;14.28;0.00;0.00;0.00;0.00
axle;60;1415150076;sdb;43.05;5354.67;5178.13;244.66;0.01;0.34;0.09;0.39
axle;60;1415150076;sda;3.08;0.00;51.33;16.65;0.00;0.00;0.00;0.00
axle;60;1415150136;sdb;42.57;5320.53;5192.53;246.98;0.02;0.44;0.12;0.50
axle;60;1415150136;sda;3.58;0.13;54.53;15.26;0.00;0.06;0.06;0.02
axle;60;1415150196;sdb;40.47;5273.60;5054.00;255.21;0.02;0.40;0.16;0.64
axle;60;1415150196;sda;2.97;0.00;44.80;15.10;0.00;0.00;0.00;0.00
axle;60;1415150256;sdb;41.93;5346.13;5125.47;249.72;0.02;0.41;0.16;0.68
axle;60;1415150256;sda;3.83;0.00;62.67;16.35;0.00;0.00;0.00;0.00
