Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

01:08:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:09:36        all      2.82      0.00      0.75      0.03      0.00     96.40
01:10:36        all      3.05      0.00      0.50      0.00      0.00     96.44
01:11:36        all      3.06      0.00      0.51      0.00      0.00     96.43
01:12:36        all      3.09      0.00      0.47      0.00      0.00     96.44
01:13:36        all      3.14      0.00      0.40      0.00      0.00     96.45
01:14:36        all      3.03      0.00      0.54      0.00      0.00     96.43
01:15:36        all      3.07      0.00      0.50      0.00      0.00     96.43
01:16:36        all      3.15      0.00      0.39      0.00      0.00     96.46
01:17:36        all      2.85      0.00      0.75      0.00      0.00     96.40
