# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415150351;942108;263177448;99.64;226368;219301780;140131000;51.20;179473536;73815420
axle;60;1415150411;682076;263437480;99.74;226140;216986092;142875712;52.20;179893764;73669440
axle;60;1415150471;477660;263641896;99.82;225600;215755088;144170840;52.68;180187612;73580032
axle;60;1415150531;4450916;259668640;98.31;224488;213459384;142577668;52.10;175921796;73883220
axle;60;1415150591;9085540;255034016;96.56;224704;213601484;137867312;50.37;171372736;73847180
axle;60;1415150651;3419048;260700508;98.71;224860;213662440;143455908;52.42;177024520;73836968
axle;60;1415150711;4910184;259209372;98.14;225064;213433728;142411120;52.03;175540540;73846368
axle;60;1415150771;7175956;256943600;97.28;225296;213595540;139786860;51.08;173263480;73851260
axle;60;1415150831;3745964;260373592;98.58;225376;213589180;143187496;52.32;176700908;73838064
axle;60;1415150891;6752984;257366572;97.44;225580;213724996;140002080;51.15;173696852;73839464
axle;60;1415150951;12424640;251694916;95.30;225808;213869128;134507136;49.15;168333544;73842884
axle;60;1415151011;12595460;251524096;95.23;226036;214071064;134187960;49.03;168168072;73889264
axle;60;1415151071;12405996;251713560;95.30;226200;214259056;134177356;49.03;168328360;73918468
axle;60;1415151131;12220260;251899296;95.37;226392;214448388;134200612;49.03;168485944;73948520
axle;60;1415151191;12026116;252093440;95.45;226580;214643044;134216412;49.04;168644052;73987040
axle;60;1415151251;11722672;252396884;95.56;226896;214836936;134505252;49.15;168900964;74027992
axle;60;1415151311;11609720;252509836;95.60;227072;215036484;134215804;49.04;168988252;74060444
