# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415150351;0.28;733.83
axle;60;1415150411;0.02;0.00
axle;60;1415150471;0.00;0.00
axle;60;1415150531;0.00;0.00
axle;60;1415150591;0.00;0.00
axle;60;1415150651;0.00;0.00
axle;60;1415150711;0.00;0.00
axle;60;1415150771;0.00;0.00
axle;60;1415150831;0.00;0.00
axle;60;1415150891;0.13;0.00
axle;60;1415150951;0.00;0.03
axle;60;1415151011;0.00;0.00
axle;60;1415151071;0.00;0.00
axle;60;1415151131;0.13;0.00
axle;60;1415151191;0.00;0.00
axle;60;1415151251;0.00;0.00
axle;60;1415151311;0.00;0.00
