Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

01:18:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:19:11        all     30.68      0.00      7.29      0.09      0.00     61.93
01:20:11        all     30.68      0.00      7.76      0.03      0.00     61.54
01:21:11        all     29.86      0.00      8.43      0.02      0.00     61.69
01:22:11        all     31.74      0.00      6.68      0.03      0.00     61.55
01:23:11        all     30.31      0.00      7.73      0.04      0.00     61.92
01:24:11        all     29.94      0.00      8.20      0.07      0.00     61.80
01:25:11        all     31.23      0.00      7.27      0.04      0.00     61.46
01:26:11        all     30.52      0.00      7.89      0.05      0.00     61.54
01:27:11        all     31.40      0.00      6.91      0.03      0.00     61.67
01:28:11        all     31.26      0.00      7.20      0.02      0.00     61.52
01:29:11        all     23.82      0.00      7.09      0.03      0.00     69.05
01:30:11        all      3.50      0.00      0.76      0.02      0.00     95.72
01:31:11        all      3.13      0.00      0.43      0.02      0.00     96.42
01:32:11        all      3.15      0.00      0.44      0.03      0.00     96.38
01:33:11        all      3.10      0.00      0.47      0.04      0.00     96.39
01:34:11        all      3.12      0.00      0.46      0.01      0.00     96.41
01:35:11        all      3.12      0.00      0.46      0.03      0.00     96.38
